system:index,area,class,territory,year,.geo
0_0_0,8.961094412323253E7,3,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,4264847.748195063,4,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,2555.2976270935133,5,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,6084535.909789044,6,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,24699.98874891858,7,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,4874.22151023569,9,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,2261656.4874468683,11,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,3344276.8424800537,12,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_8,10.94268181152344,13,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_9,196082.48512711702,15,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_10,3027.3190276184605,20,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_11,115829.93769816354,21,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_12,1855.5538975403724,23,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_13,446.8775476684569,24,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_14,5203.474776873779,25,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_15,276923.3957451087,29,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_16,1992.4733983215474,30,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_17,9.380250646972655,31,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_18,169.81177676391653,32,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_19,406682.3021347234,33,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_20,4.380120013427734,35,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_21,3893.1938185119725,39,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_22,0.07778714599609375,40,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_23,57154.54719456078,41,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_24,140.89626286010727,46,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_25,410.8283760925269,48,1,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
